Company Name	Position Title	Position Type	Location	Company Stage	Monthly Salary	Monthly Stock/ Stipend	Annualized Base Salary	Stock/ Stipend per Year	Signing Bonus	Additional Benefits	Did You Negotiate the Offer?	Did You Accept the Offer?	Time Frame From First Interview Invitation to Offer in Weeks	Sex	Degree Level	Last Year of College	Last School Attended	Major	Additional Information	Intern Conversion	Base Salary	Base Salary Rate	Housing Stipend	Stock Bonuses/Benefits	Stock in currency or number of units	Stock Vesting Schedule Details	Annualized Recurring Renumeration (inc. stock and stipend)	Recurring Renumeration per Month (inc. stock and stipend)	Total First Year Annualized Renumeration(including Signon & Relocation)	Timestamp
Capital One	Associate Software Engineer	Full Time	"McLean, Va"	Public	7333.333333	0	88000	0	10500	"Signing Bonus Breakdown: $9000 net after taxes signing, $1500 net after taxes relocation
Lots of free food, discounted lunch, free snacks (my team gets a snack budget every sprint) 
7.5% match on 401k
potential for a $7800 dollar bonus, apparently people usually get something like $4400
bonuses for referring people, $1000 for salaried, $500 for hourly
health benefits are great, onsite health clinic no copay"	No	Yes	2	Prefer Not to Disclose	Bachelors	Senior	Large Eastern State School 	Computer Science	Interview was tough but not unreasonable. CTCI was enough		88000	Per year	0	0		0	"$88,000 "	"$7,333 "	"$98,500 "	8/30/2016 21:25
Quora	Software Engineer	Full Time	Mountain View	Series C	10416.66667	0	125000	0	25000	"3 meals a day, snacks, drinks, alcohol"	No	Yes		Male	Bachelors	Senior					125000	Per year		500000	Number of Units	4 years	"$125,000 "	"$10,417 "	"$150,000 "	9/8/2016 2:19
Jump Trading	Software Engineering Intern	Intern	IL	Private	9200	6250	110400	75000	6000		No			Male	Bachelors	Sophomore		CS			9200	Per month	6250				"$185,400 "	"$15,450 "	"$191,400 "	9/14/2016 16:11
Verizon	IT Intern	Intern	"Irving, Texas"	Public	3986.666667	600	47840	7200	0	"Gym Membership, Free Housing
"	No	Yes	2	Male	Bachelors	Junior	Engineering school in southeast	Computer Engineering			23	Per hour	600				"$55,040 "	"$4,587 "	"$55,040 "	9/15/2016 15:28
AT&T	Technical Development Program Intern	Intern	"Seattle, WA"	Public	3813.333333	0	45760	0	0		No	Yes		Male	Bachelors	Junior	Top 10 CS School	CS			22	Per hour	0	0		0	"$45,760 "	"$3,813 "	"$45,760 "	9/21/2016 20:50
Amazon	SDE 1	Full Time	Seattle	Public	9166.666667	0	110000	0	54000	10000 Relocation	Yes	Still considering		Male	Masters	Graduate	East Course Top School	Computer Science			110000	Per year		65000		4	"$110,000 "	"$9,167 "	"$164,000 "	9/26/2016 9:39
Zillow	Software development engineer Intern	Intern	Irvine	Public	6333	1000	75996	12000			No	Yes		Male	Bachelors	Junior	Ucla				6333	Per month	1000				"$87,996 "	"$7,333 "	"$87,996 "	10/3/2016 16:13
Twitter	Software Engineer	Full Time	San Francisco	Public	10000	0	120000	0	18500		No	Yes	1	Female	Bachelors	Senior	CA	Computer Science			120000	Per year		8000			"$120,000 "	"$10,000 "	"$138,500 "	10/14/2016 16:17
Workday	Software Engineer	Intern	"Pleasanton, CA"	Public	7280	0	87360	0		fully paid corporate housing	No	Still considering	4	Male	Bachelors	Junior	UT Austin	Engineering			42	Per hour					"$87,360 "	"$7,280 "	"$87,360 "	10/15/2016 23:29
Amazon	SDE	Full Time	Seattle	Public	8583.333333	0	103000	0	52000	10000	No	Still considering		Male	Bachelors	Senior	University of British Columbia	CS			103000	Per year		65000		4 years | 5%| 15% | 40% | 40%	"$103,000 "	"$8,583 "	"$155,000 "	10/28/2016 4:03
Microsoft	SDE	Full Time	Redmond	Public	8916.666667	0	107000	0	40000		Yes	Yes	8	Male	Bachelors	Senior	Canadian School thats not Waterloo	CS			107000	Per year		120000		"4 years vesting, 25% a year"	"$107,000 "	"$8,917 "	"$147,000 "	10/29/2016 3:22
Bloomberg	Software Engineering Intern	Intern	New York	Private	7390	5100	88680	61200	2000		No	Still considering		Male	Bachelors	Junior					7390	Per month	5100				"$149,880 "	"$12,490 "	"$151,880 "	11/1/2016 15:41
Paypal	software engineer intenr	Intern	MD	Public	5373.333333	0	64480	0		"corporate housing provided, relo bonus"	No	Still considering	2	Male	Bachelors	Junior	UMD	CS			31	Per hour					"$64,480 "	"$5,373 "	"$64,480 "	11/6/2016 23:16
CitiBank	Leadership Development	Full Time	NYC	Public	6666.666667	0	80000	0	10000		No	No	3	Male	Bachelors	Senior	"Small Engineering, not target but had campus recruiter"	EE	Two on campus interviews + superday		80000	Per year					"$80,000 "	"$6,667 "	"$90,000 "	11/8/2016 16:21
Facebook	Software Engineer	Full Time	Cali	Public	8916.666667	0	107000	0	75000		No	Yes	0	Male	Bachelors	Senior	"Small Engineering in Big City, not target"	EE	From internship to job offer		107000	Per year		160000		4 year 25% per year	"$107,000 "	"$8,917 "	"$182,000 "	11/8/2016 16:23
Google	Software Engineer	Full Time	Cali	Public	9166.666667	0	110000	0	50000		Yes	Yes	4	Male	Bachelors	Senior	Small Engineering in a Big City	EE			110000	Per year		180000		4 yr 25% per year	"$110,000 "	"$9,167 "	"$160,000 "	11/8/2016 16:25
Bloomberg	Software Engineer	Full Time	NYC	Private	10666.66667	0	128000	0	10000	12k annual bonus	No	Yes	5	Male	Bachelors	Senior	Small Engineering in Big City	EE			128000	Per year					"$128,000 "	"$10,667 "	"$138,000 "	11/8/2016 16:26
Salesforce	Software Engineering Intern	Intern	"San Francisco, CA"	Public	7678.666667	2666	92144	31992	500	gym	No	Still considering	1	Male	Bachelors	Junior					44.3	Per hour	2666				"$124,136 "	"$10,345 "	"$124,636 "	11/17/2016 9:46
Seattle	Software Engineer	Full Time	California		9416.666667	0	113000	0	54000		No	Yes		Male	Bachelors	Senior					113000	Per year		75000		4 years	"$113,000 "	"$9,417 "	"$167,000 "	11/22/2016 21:56
MongoDB	Software Engineer Intern	Intern	NYC	Series D+	6933.333333	2266	83200	27192		Free housing at NYU or 6800 housing stipend for the summer. Free unlimited subway card for 3 months. Relocation costs covered. 	No	Yes	2	Male	Bachelors	Junior	UMD	Computer Science	Choice of 10/11/12 week internship.  		40	Per hour	2266				"$110,392 "	"$9,199 "	"$110,392 "	11/23/2016 14:53
Snapchat	Software Engineer	Full Time	"Venice, CA"	Series D+	10000	0	120000	0	20000	"401k match ~4%, food, travel/phone stipend, ect"	Yes	Yes	5	Male	Bachelors	Senior		Computer Science			120000	Per year		322560		backloaded 10/20/30/40	"$120,000 "	"$10,000 "	"$140,000 "	11/30/2016 10:53
Apple	Software Engineering Intern	Intern	"Cupertino, CA"	Public	6586.666667	0	79040	0			No	Yes	4	Male	Bachelors	Junior	Purdue University	Computer Science			38	Per hour					"$79,040 "	"$6,587 "	"$79,040 "	11/30/2016 10:53
Climate Coro	Software Engineering Intern	Intern	"San Francisco, CA"	Public	5500	1000	66000	12000			No	Yes		Male	Bachelors	Junior	Midwest State College	Computer Science			5500	Per month	1000				"$78,000 "	"$6,500 "	"$78,000 "	11/30/2016 10:54
Capital one	Software intern	Intern	D.C.	Public	5000	1500	60000	18000			No	Yes	1	Male	Bachelors	Junior	Purdue	CS			5000	Per month	1500				"$78,000 "	"$6,500 "	"$78,000 "	11/30/2016 10:57
Microsoft	Software Engineer	Full Time	"Seattle, WA, USA"	Public	8916.666667	0	107000	0	15000	Gym	Yes	Yes	2	Male	Bachelors	Senior		Computer Science			107000	Per year		120000		3.5	"$107,000 "	"$8,917 "	"$122,000 "	11/30/2016 10:58
